experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
qoder-deepseek-v4pro-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,oob,0,False,True,pass,True,,,,,,,unavailable,133.40575220800383,143.10971502700704,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/attention/qoder__deepseek-v4pro__oob__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,attention,multi-kernel-pipelines,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,110.21891717700055,119.40235984899482,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/attention/qoder__deepseek-v4pro__with-sycl-skill__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,oob,0,False,True,pass,True,,,,,,,unavailable,114.89548648399796,124.13803415899747,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/batchedGemm/qoder__deepseek-v4pro__oob__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,batchedGemm,linear-algebra,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,112.94125410899869,122.09545728100056,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/batchedGemm/qoder__deepseek-v4pro__with-sycl-skill__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,oob,0,False,True,wrong_output,False,,,,,,,unavailable,140.2411064590051,149.82159315199533,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbAdam8bitMoments/qoder__deepseek-v4pro__oob__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,with-sycl-skill,0,False,True,wrong_output,False,,,,,,,unavailable,91.63836860599986,100.7846844300002,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbAdam8bitMoments/qoder__deepseek-v4pro__with-sycl-skill__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,oob,0,False,True,wrong_output,False,,,,,,,unavailable,103.84831051400397,113.36279908800498,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbInt8VectorQuant/qoder__deepseek-v4pro__oob__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,with-sycl-skill,0,False,True,wrong_output,False,,,,,,,unavailable,96.9630913919973,106.46881538900197,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbInt8VectorQuant/qoder__deepseek-v4pro__with-sycl-skill__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,oob,0,False,True,pass,True,,,,,,,unavailable,98.47335217000364,107.96262304999982,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbStableEmbeddingGrad/qoder__deepseek-v4pro__oob__r0/migration.json
qoder-deepseek-v4pro-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,qoder,external_command,deepseek-v4pro,DeepSeek-V4-Pro,,with-sycl-skill,0,False,True,pass,True,,,,,,,unavailable,97.63974516699818,107.13922364500468,0,150000,False,,artifacts/stage2/qoder-deepseek-v4pro-hard50-v1/bnbStableEmbeddingGrad/qoder__deepseek-v4pro__with-sycl-skill__r0/migration.json
